run,start_row,start_col,end_row,end_col,terrain_cells,terrain_dist_km,terrain_time_min,terrain_gain_m,terrain_loss_m,shortest_cells,shortest_dist_km,shortest_time_min,shortest_gain_m,shortest_loss_m,extra_dist_m,time_saved_min
1,788,861,82,530,731,22.003030171412,288.4511684073845,493.4324951171875,656.4314575195312,707,21.3940232882473,684.945178383483,1886.911376953125,2049.91015625,609.0068831647004,396.49400997609854
2,1047,995,829,621,428,12.779743232065059,215.67506839962215,955.3217163085938,416.1918640136719,375,11.781709033798087,322.29275911929193,1488.140869140625,949.0109252929688,998.0341982669706,106.61769071966978
3,976,733,447,1033,549,17.0483827599668,228.5492610555397,314.25714111328125,1090.3939208984375,530,16.57676309873582,524.1575489444344,1642.689453125,2418.826416015625,471.61966123097955,295.6082878888948
4,513,1090,300,635,464,14.281857681511045,254.76801959255332,1055.22802734375,944.9186401367188,456,13.78455332477323,633.3275719816346,2079.11865234375,1968.8095703125,497.3043567378154,378.5595523890813
5,202,151,676,966,895,27.152591272829405,362.44188505885126,688.8084716796875,1133.6793212890625,816,25.66297222485746,797.494330667179,2904.471435546875,3349.34228515625,1489.619047971948,435.0524456083278
6,206,724,889,647,706,21.936230550265968,325.6409855119971,1050.75048828125,755.8487548828125,684,18.140651554853168,3862.653399559672,2774.580078125,2479.678955078125,3795.5789954128013,3537.0124140476746
7,418,976,906,1067,505,15.00692080201884,198.7036853894249,295.48614501953125,617.0498657226562,489,13.339621660315755,356.4046934829654,1091.9144287109375,1413.4783935546875,1667.2991417030844,157.7010080935405
8,533,127,28,191,511,14.801805732814092,211.43676591151777,580.2703247070312,474.23590087890625,506,13.487210261482172,285.6604961423364,992.44384765625,886.409423828125,1314.5954713319188,74.22373023081863
9,816,2,1010,682,794,22.445486566202927,311.71366502502667,753.3527221679688,834.3007202148438,681,19.294287883561076,665.832745785447,1939.8375244140625,2020.7835693359375,3151.1986826418506,354.1190807604203
10,499,666,128,391,427,13.206331826731935,176.94952350120252,398.8591613769531,252.81314086914062,372,12.304698086042704,232.7766904642556,788.2142333984375,642.168212890625,901.6337406892326,55.82716696305309
11,454,488,291,1112,659,19.04084442428429,276.9207209117666,726.1981201171875,1241.847900390625,625,17.547437396671018,770.3501777691578,2370.23095703125,2885.878173828125,1493.4070276132734,493.4294568573912
12,917,186,164,655,805,25.215671463017014,344.4647959355226,743.61865234375,1276.819580078125,754,24.037150503643684,1140.9764779038126,3087.787109375,3620.98681640625,1178.5209593733307,796.51168196829
13,1040,1002,223,617,910,26.98665960187226,373.5259213461333,1036.992919921875,646.360107421875,818,24.778262671700492,575.1107315745644,2242.62744140625,1851.994140625,2208.39693017177,201.58481022843108
14,596,255,681,1106,871,26.533073601723736,352.1392824809049,580.2105712890625,1347.0743408203125,852,22.487786040533663,739.5845736714216,2134.00146484375,2900.866455078125,4045.287561190071,387.4452911905167
15,187,788,649,495,540,16.3680412973147,241.1433754523855,793.7039794921875,546.7351684570312,463,14.80304336764734,548.3577294324552,1791.40625,1544.4384765625,1564.997929667361,307.21435398006975
16,67,532,975,141,931,28.23427420463311,415.29554015094556,1267.1666259765625,867.5940551757812,909,27.150478498012518,750.6353839427272,2983.972900390625,2584.39990234375,1083.7957066205927,335.3398437917817
17,164,1107,801,1074,642,17.936774120481743,236.09119339197468,443.9431457519531,291.9803771972656,638,16.51091369271463,321.14056889940485,1024.35107421875,872.3886108398438,1425.860427767111,85.04937550743017
18,564,1068,482,440,651,19.752280680767925,283.3486857547184,844.1751708984375,669.0004272460938,629,16.797564720639638,793.0932160707636,2218.17578125,2043.00048828125,2954.7159601282874,509.74453031604514
19,858,563,922,1008,460,13.581241621676778,219.2779477420518,551.060546875,1219.205322265625,446,11.964693053570747,619.397002923725,1379.705810546875,2047.848876953125,1616.5485681060309,400.1190551816733
20,996,686,389,497,675,20.613546474517854,281.93938763470425,576.6165161132812,1014.1721801757812,608,17.389338007563527,676.4548828763415,2053.983642578125,2491.53759765625,3224.2084669543256,394.5154952416372
21,761,349,681,872,590,17.53169775783036,246.7932001798912,414.5995178222656,1062.8037109375,524,14.112138030912504,9838.267866259983,1798.3690185546875,2446.572021484375,3419.559726917858,9591.474666080092
22,92,1094,151,54,1051,30.249251402232552,414.64830879572486,1114.39306640625,714.4033813476562,1041,27.01043475898727,910.4175025432935,2699.072509765625,2299.083984375,3238.8166432452817,495.76919374756864
23,254,386,245,801,437,12.577178507668497,193.717882676238,616.9462280273438,599.9153442382812,416,10.625341112856988,396.77260374256554,1312.4542236328125,1295.423095703125,1951.8373948115095,203.05472106632755
24,187,758,237,74,711,20.223719094573788,273.63481944090347,624.6510009765625,660.5303955078125,685,17.882235567243217,524.9876499807931,1594.46435546875,1630.34423828125,2341.4835273305725,251.35283053988962
25,981,431,125,46,869,26.4718122401856,388.96073545312134,1064.9779052734375,1282.5777587890625,857,25.76789885684293,676.0970145917167,2193.771240234375,2411.36962890625,703.9133833426677,287.1362791385954
26,452,147,616,717,594,18.46355115236789,275.771489726724,917.8497924804688,871.26513671875,571,16.187682697491773,692.6868349398065,1698.330078125,1651.7451171875,2275.8684548761157,416.91534521308256
27,893,369,125,1031,1039,31.384725908574946,387.2990567439836,465.0089416503906,899.5635986328125,769,26.446361878245558,2514.870762611596,3086.589111328125,3521.142822265625,4938.3640303293905,2127.5717058676123
28,956,80,206,801,949,29.847216040522763,408.86584419160863,1002.0885009765625,1336.67822265625,751,26.60974320439449,1184.9187327447428,3740.239501953125,4074.827392578125,3237.4728361282723,776.0528885531342
29,408,532,734,963,479,15.230069532305892,207.38977105530748,444.5975341796875,499.01922607421875,432,14.363265478947957,884.0176590434289,1402.0858154296875,1456.5068359375,866.8040533579351,676.6278879881214
30,331,701,513,240,481,14.965496467671294,222.68545285341472,722.54345703125,609.0565185546875,462,13.610970619391656,354.6995108724047,1376.301513671875,1262.814453125,1354.525848279638,132.01405801898997
31,905,358,27,965,1030,31.808017179733774,405.13780325348864,635.7691040039062,910.4798583984375,879,28.659550089325062,1586.378835820662,3650.10400390625,3924.812744140625,3148.4670904087143,1181.2410325671735
32,795,513,314,25,730,22.156338279611543,333.34007358247675,861.3948364257812,1504.8360595703125,489,17.438828957327498,1322.3279168477875,1991.193603515625,2634.63232421875,4717.509322284044,988.9878432653107
33,575,276,491,986,735,21.77869689243343,327.37687696116683,824.4482421875,1481.2462158203125,711,18.89935981400072,1448.9036089298052,2429.95458984375,3086.754150390625,2879.337078432709,1121.5267319686384
34,635,794,848,165,690,20.26893140856288,326.2857913721411,1308.081298828125,647.7514038085938,630,18.1998532277164,1247.6240019858733,2975.09814453125,2314.76953125,2069.0781808464817,921.3382106137321
35,3,393,684,327,689,20.83216024646347,304.9202011953093,1090.99169921875,304.7017822265625,682,17.974282313904514,707.2964518506972,2425.2861328125,1638.99658203125,2857.8779325589567,402.3762506553879
36,490,456,917,775,614,19.01310004010259,293.4486233256438,953.6144409179688,991.2235717773438,428,14.188188816166472,537.3342781174963,2071.84423828125,2109.453369140625,4824.911223936117,243.88565479185252
37,848,64,823,856,922,27.38576013492411,401.0969980154771,990.3463134765625,1514.98681640625,793,20.359996842957433,1153.610586396169,2898.749755859375,3423.39013671875,7025.763291966676,752.513588380692
38,95,339,912,130,823,24.978714621280748,354.2834737330006,1056.1494140625,366.44793701171875,818,22.92836399407468,748.4035333077645,3013.52685546875,2323.8271484375,2050.3506272060695,394.1200595747639
39,530,322,914,1080,794,24.12721263677197,354.2554514157594,927.8111572265625,1432.9151611328125,759,23.270609962646517,762.3654980658956,2779.512939453125,3284.6162109375,856.60267412545,408.1100466501362
40,997,0,79,1012,1203,38.25805623232551,517.4557832016117,1236.9013671875,1519.3779296875,1013,35.32869356999602,1080.979325378706,3648.368896484375,3930.845458984375,2929.362662329484,563.5235421770944
