run,start_row,start_col,end_row,end_col,terrain_cells,terrain_dist_km,terrain_time_min,terrain_gain_m,terrain_loss_m,shortest_cells,shortest_dist_km,shortest_time_min,shortest_gain_m,shortest_loss_m,extra_dist_m,time_saved_min
1,394,430,41,265,364,11.323321961519314,149.47453528514703,252.3637237548828,187.72386169433594,354,11.082094046634438,249.3553620916328,555.414306640625,490.77435302734375,241.22791488487564,99.88082680648577
2,722,616,150,317,601,18.75522081805401,234.1671445054641,326.3260498046875,303.85076904296875,573,18.30203084179426,305.21604357643764,891.1482543945312,868.6727905273438,453.18997625975317,71.04889907097353
3,338,483,573,103,399,13.028286656165966,162.74854230724637,201.7652130126953,286.0653076171875,381,12.554856141358236,232.84345514000483,617.5574340820312,701.8575439453125,473.4305148077292,70.09491283275847
4,655,209,565,488,280,8.318679679891908,98.54253601030831,49.20912170410156,322.0802917480469,280,8.31867967989189,116.76192867499293,123.16706848144531,396.03839111328125,1.8189894035458565e-11,18.21939266468462
5,453,533,266,63,513,15.242274556316197,192.76392426270036,322.89739990234375,251.30335998535156,471,14.399071808530936,252.37293815745534,760.5468139648438,688.952392578125,843.2027477852607,59.60901389475498
6,561,14,95,736,730,24.26167617275728,308.5800946791581,560.02685546875,286.37786865234375,723,24.066669786994495,389.1927233210623,1318.38671875,1044.73779296875,195.00638576278652,80.61262864190422
7,408,727,684,640,277,8.207091037411645,105.68953642208983,212.51707458496094,162.84872436523438,277,8.20709103741162,121.50481498059305,338.92236328125,289.2540283203125,2.3646862246096134e-11,15.815278558503223
8,1,626,505,341,507,16.43538472744985,219.88610413441438,458.51788330078125,297.9466857910156,505,16.360992299129574,321.7621045314643,1082.1197509765625,921.54833984375,74.39242832027594,101.87600039704989
9,64,195,581,227,518,14.81816256910695,190.29766891241562,339.44622802734375,306.6058044433594,518,13.946601057664232,211.0938616578143,538.5491943359375,505.7090759277344,871.5615114427183,20.796192745398685
10,244,145,556,458,346,12.233495346126958,173.97107863104796,468.70361328125,403.2293701171875,314,11.631520513226723,183.30689352970387,538.1495971679688,472.6754150390625,601.9748329002341,9.335814898655912
11,93,82,327,520,457,14.564679500550406,191.659337169907,384.2069396972656,239.47259521484375,439,14.069459947956577,236.85840465250368,810.0462646484375,665.311767578125,495.2195525938296,45.19906748259669
12,501,111,308,564,455,14.163451505439141,199.39400851180403,577.548095703125,268.1417236328125,454,14.017310102348564,488.2271535551467,969.3756103515625,659.9693603515625,146.14140309057802,288.83314504334265
