run,start_row,start_col,end_row,end_col,terrain_cells,terrain_dist_km,terrain_time_min,terrain_gain_m,terrain_loss_m,shortest_cells,shortest_dist_km,shortest_time_min,shortest_gain_m,shortest_loss_m,extra_dist_m,time_saved_min
1,864,394,776,911,518,14.987874081037104,185.67886805609592,275.93780517578125,364.05517578125,518,14.531108535296136,221.91214863109948,598.2769775390625,686.39453125,456.76554574096735,36.23328057500356
2,430,41,265,523,497,14.969402430058588,192.57408457846617,302.07781982421875,375.2481384277344,483,14.44957072302734,318.152126066863,771.3546142578125,844.52490234375,519.8317070312478,125.57804148839682
3,497,414,802,849,480,15.784602442557413,231.2317011497218,727.2406005859375,697.5252685546875,436,14.73811563641213,262.5473888427853,912.0084228515625,882.2926025390625,1046.4868061452817,31.315687693063524
4,913,929,223,516,746,23.649461400861746,327.1727478357372,803.87255859375,595.9339599609375,691,22.607799461528533,448.55980918098095,1502.274169921875,1294.33544921875,1041.6619393332148,121.38706134524375
5,142,288,143,773,486,13.288544925684452,174.02652956043156,384.9256286621094,267.3371276855469,486,12.744776418850021,194.8759615853403,447.71148681640625,330.12298583984375,543.7685068344308,20.849432024908737
6,97,633,818,256,750,23.939364557504803,298.30215160430606,386.6737365722656,570.994140625,722,23.030205585082175,417.6456786895065,1163.70263671875,1348.023681640625,909.1589724226287,119.34352708520044
7,150,317,101,747,431,11.86624503156766,157.6307365290855,392.0450744628906,228.26275634765625,431,11.822743551020853,179.04182174342674,477.9300231933594,314.147705078125,43.501480546807215,21.411085214341227
8,75,920,870,700,797,24.020582228767108,301.18166739524077,420.97662353515625,757.7626953125,796,23.26567696352883,386.5240088616956,850.445556640625,1187.2318115234375,754.9052652382779,85.34234146645485
9,338,483,573,103,394,13.058991443815211,178.03823301871032,381.3908996582031,443.1487731933594,381,12.532789092453804,237.35734818442185,523.0236206054688,584.7813720703125,526.2023513614076,59.31911516571154
10,655,934,209,565,462,15.953650891185276,216.50228723752102,524.5703125,348.4565124511719,447,15.722949452038252,243.8230741910293,696.9796142578125,520.8660888671875,230.70143914702385,27.320786953508275
11,488,453,886,533,416,12.03793228747816,172.67670507486028,410.5875549316406,636.2662353515625,399,11.319705110703927,200.87895966225227,611.0215454101562,836.7005004882812,718.2271767742332,28.20225458739199
12,266,63,824,940,911,30.211064182053597,401.553128852275,826.7175903320312,1187.810791015625,878,29.094500288274947,547.881750731317,1513.06591796875,1874.1578369140625,1116.5638937786498,146.32862187904198
13,561,937,14,95,882,28.742756606853423,386.02336122547655,874.6436767578125,730.46435546875,843,28.055929903977656,439.75270397630027,1239.3890380859375,1095.209716796875,686.8267028757655,53.72934275082372
14,736,860,408,727,334,10.135117582076633,140.5730322862174,348.2247619628906,215.44979858398438,329,10.058217102360949,166.78688384465525,555.7113037109375,422.93634033203125,76.9004797156831,26.213851558437852
15,1,626,505,847,519,15.873283787915273,199.3559784032571,264.7568054199219,436.8936462402344,505,15.636211704437981,254.26523513129536,609.2084350585938,781.344970703125,237.07208347729284,54.90925672803826
16,888,341,249,747,679,21.81421758255692,279.88089594397763,538.4788818359375,373.1851806640625,640,21.192643100500913,426.9421372080641,1468.850341796875,1303.5574951171875,621.5744820560067,147.06124126408645
17,333,720,891,64,692,23.895597863464744,298.84025589986226,478.30377197265625,583.01318359375,657,23.292042284634814,362.9550396176096,968.35009765625,1073.06005859375,603.555578829928,64.11478371774734
18,195,939,581,227,730,23.47950745672836,305.3367331603656,547.416748046875,389.73583984375,713,22.891784721593957,358.4549448535417,874.7598876953125,717.0789794921875,587.7227351344009,53.11821169317608
19,556,458,93,82,546,17.96335337942989,258.4251384692338,666.037353515625,566.235595703125,464,16.245419966352024,328.0731304564171,1115.7164306640625,1015.914306640625,1717.9334130778643,69.64799198718333
20,327,896,520,501,397,12.48523563385336,156.9521589002723,290.1772766113281,206.8115234375,396,12.469855537910204,165.3374153737341,354.9278259277344,271.56207275390625,15.380095943157357,8.385256473461794
21,111,308,564,298,454,12.742005004820795,178.20558319804476,484.5572509765625,411.17095947265625,454,12.002479835525964,207.8431061102857,561.5850830078125,488.198974609375,739.5251692948314,29.63752291224094
22,834,553,208,818,627,19.339645592463842,260.37793821684556,670.6810913085938,282.5050964355469,627,19.31789485219027,355.68742134219644,1150.691162109375,762.51513671875,21.750740273571864,95.30948312535088
23,455,93,610,817,734,21.420330663846528,290.5908983456852,647.4266357421875,809.4978637695312,725,20.69463981297695,573.4148137448889,979.6048583984375,1141.6746826171875,725.6908508695815,282.82391539920366
24,297,188,193,841,660,18.911906926832007,236.09516266956012,358.78912353515625,333.0148620605469,654,18.27585784433872,270.8321245400048,495.93743896484375,470.16314697265625,636.0490824932858,34.7369618704447
25,191,33,627,672,727,23.052729214114848,308.8826822500254,664.431640625,867.9387817382812,640,21.518904204601554,412.50240351367677,1155.35791015625,1358.8656005859375,1533.8250095132935,103.61972126365134
26,266,487,70,91,421,13.224120521135942,182.86331629494958,505.0306701660156,336.1419982910156,397,12.52873711440009,218.6335391622248,625.2438354492188,456.3551940917969,695.383406735853,35.77022286727521
27,695,775,133,897,563,16.582634119823265,217.81816919721956,436.324951171875,219.9888458251953,563,16.082367093535524,255.15926042238968,695.1624755859375,478.8262634277344,500.26702628774365,37.34109122517012
28,153,39,862,82,713,19.759678122228152,260.14434504435985,515.3097534179688,715.305419921875,710,19.082766366470754,316.52937206033187,825.8588256835938,1025.854736328125,676.9117557573991,56.385027015972014
29,699,400,857,722,326,10.327462548495518,142.4895851385482,347.42340087890625,456.067138671875,323,10.172568559299194,187.79455300624005,509.5536804199219,618.1976318359375,154.89398919632367,45.30496786769186
30,537,282,534,831,556,15.583193097012867,220.4162280927526,491.314453125,698.262451171875,550,14.446876988231967,355.6786383561037,687.4517822265625,894.39990234375,1136.3161087809003,135.26241026335111
31,812,365,84,332,738,21.46010030734566,321.95632642677293,928.0175170898438,880.92236328125,729,19.472866520620457,546.2729311817374,1592.431396484375,1545.337158203125,1987.2337867252027,224.31660475496443
32,627,118,498,601,485,14.839218129424392,192.5874229800277,403.1332702636719,394.77374267578125,484,14.084312864186405,212.45319890813533,579.7693481445312,571.4097900390625,754.9052652379869,19.865775928107638
33,248,16,749,277,556,16.97524047450887,225.12749034749876,482.672607421875,602.939208984375,502,15.992460111666052,257.8054508515321,770.3958740234375,890.66259765625,982.7803628428155,32.67796050403334
34,119,722,225,380,344,10.147538729730984,118.60273837655505,90.30152893066406,307.3081970214844,343,10.132158633787816,134.37370309724946,204.54742431640625,421.55413818359375,15.380095943168271,15.770964720694408
35,813,174,340,436,493,15.843163878041238,225.9662819698933,632.8668212890625,566.084228515625,474,15.26818243156776,338.74424701054295,882.11083984375,815.3282470703125,574.9814464734773,112.77796504064966
36,835,63,103,801,866,29.312327832015374,374.12429440736446,649.317138671875,482.6689147949219,739,27.337304906964317,657.3612776361612,1438.06201171875,1271.4140625,1975.0229250510565,283.2369832287967
37,149,875,714,224,686,23.759815807259084,287.5339440276729,295.2622985839844,546.4359741210938,652,23.236892545192557,405.795289124597,829.2908935546875,1080.464111328125,522.923262066528,118.26134509692412
38,46,836,587,649,542,16.520660988297998,197.84758059912357,113.6939697265625,379.1135559082031,542,16.237901364743973,221.807090525943,385.9292907714844,651.3490600585938,282.7596235540241,23.959509926819436
39,547,616,696,75,542,16.08564618283043,213.8455678699538,454.1656799316406,450.5863342285156,542,15.824637299549801,345.1773906131707,719.1409301757812,715.5615234375,261.00888328062865,131.3318227432169
40,27,127,650,193,628,17.549714245716796,242.48957632776836,589.3359375,578.4671630859375,624,17.07492979675007,275.54171063435615,772.30419921875,761.4359130859375,474.78444896672954,33.05213430658779
41,620,850,589,122,731,20.286653362348254,288.33435579292177,814.6484985351562,608.001708984375,729,19.451115780347045,340.8299263987719,1023.3154296875,816.668701171875,835.5375820012086,52.495570605850105
42,400,93,379,853,764,21.903484282413977,277.1885220944386,489.47314453125,527.14892578125,761,20.182536993534402,394.29423653583854,990.7041625976562,1028.3802490234375,1720.9472888795754,117.10571444139993
43,118,37,620,22,504,13.880772386624823,185.2331287754705,413.4131774902344,383.009033203125,503,13.343374524120652,217.96604889235311,614.6507568359375,584.2463989257812,537.3978625041709,32.73292011688261
44,199,189,735,126,537,16.541638839812517,206.0730037120249,318.90234375,386.16607666015625,537,14.758078137395591,292.8475746694689,789.8997192382812,857.1636962890625,1783.5607024169258,86.77457095744398
45,490,215,744,819,645,19.910122313130813,256.5107577210886,428.0039367675781,633.1439208984375,605,18.620645526930634,398.8617472016921,989.429931640625,1194.5703125,1289.476786200179,142.35098948060346
46,435,635,103,855,336,11.155536456401522,139.8347357706038,175.45071411132812,68.09735107421875,333,11.10939616857212,141.14277231615642,207.47152709960938,100.1181640625,46.14028782940113,1.3080365455526248
47,662,308,358,446,373,10.98507483700266,160.343051274985,492.96978759765625,158.76333618164062,305,9.482462767128695,218.9791446428246,827.028564453125,492.82232666015625,1502.612069873965,58.63609336783961
48,184,62,515,478,513,16.237768757997397,230.55941820444602,518.4307861328125,607.8665161132812,417,14.52202140444944,371.26011229268676,1198.63623046875,1288.072265625,1715.7473535479567,140.70069408824074
49,749,481,858,923,445,12.995097466253343,166.23062037715283,269.1730651855469,367.653076171875,443,12.790331352179972,210.1908112582443,624.22705078125,722.7070922851562,204.76611407337077,43.96019088109148
50,583,173,714,688,538,16.393888383705264,198.81851173353485,199.77830505371094,551.017822265625,516,14.946238519014065,292.0676594290681,741.7394409179688,1092.9796142578125,1447.6498646911987,93.24914769553325
51,350,542,256,120,425,12.676620177253998,168.33762930875767,382.8100280761719,447.1064453125,423,12.102091478533229,243.30675413980524,683.7551879882812,748.0518188476562,574.5286987207692,74.96912483104757
52,13,482,697,419,716,21.51325152151781,286.4134075067816,577.1610107421875,832.687744140625,685,18.643887117209005,465.35114779758965,1351.7215576171875,1607.247314453125,2869.364404308806,178.93774029080805
53,857,673,256,157,754,24.359772155787915,336.44853052380336,743.4715576171875,569.7583618164062,602,21.3912261045037,444.41035573527466,1461.515869140625,1287.803955078125,2968.5460512842146,107.96182521147131
54,574,707,12,468,569,17.447065975186877,244.07387189390454,702.6738891601562,457.645751953125,563,17.354785399527934,294.1024022392786,910.9827880859375,665.95458984375,92.28057565894414,50.028530345374065
55,759,80,343,756,678,22.288229142764692,279.4671996168028,482.74761962890625,360.1044006347656,677,22.272849046821108,466.939391638995,1252.5400390625,1129.89599609375,15.380095943583001,187.4721920221922
56,46,557,287,138,425,13.698904970102674,167.84632027217444,185.6903076171875,210.21417236328125,420,13.622004490386942,194.60276522790787,413.53143310546875,438.0552978515625,76.90047971573222,26.75644495573343
57,245,780,493,360,438,14.39911324365109,192.11054523065167,380.1681823730469,377.3771667480469,421,13.724387547423582,250.92869503031358,591.5932006835938,588.8021850585938,674.7256962275078,58.81814979966191
58,666,82,1,608,749,24.456877598259275,315.2564548790538,560.59326171875,571.977294921875,666,23.18032963497907,491.0272087465608,1302.2161865234375,1313.59912109375,1276.5479632802053,175.77075386750698
59,196,715,342,163,554,16.335459554968164,204.9510580330366,308.4092712402344,399.6153869628906,553,16.080821316017772,263.19558358112147,591.430908203125,682.636474609375,254.6382389503924,58.24452554808488
