run,start_row,start_col,end_row,end_col,terrain_cells,terrain_dist_km,terrain_time_min,terrain_gain_m,terrain_loss_m,shortest_cells,shortest_dist_km,shortest_time_min,shortest_gain_m,shortest_loss_m,extra_dist_m,time_saved_min
1,864,394,776,911,527,15.362458210060566,237.9547750312421,671.0162353515625,1118.2142333984375,518,14.03161953168284,322.9629519336461,987.526611328125,1434.7259521484375,1330.838678377726,85.00817690240399
2,430,41,265,988,960,28.62962908421482,390.2572656291529,987.4893188476562,956.8029174804688,948,25.7420139922244,723.2752832145524,2541.10107421875,2510.416748046875,2887.6150919904176,333.01801758539943
3,523,497,414,940,459,13.459930250127163,250.60252357656933,841.1530151367188,1388.087890625,444,12.3760323922829,481.5478466176776,1475.297119140625,2022.231689453125,1083.8978578442639,230.94532304110825
4,802,849,310,991,496,15.101593375143729,207.2189825632625,579.4662475585938,365.0059814453125,493,13.964878667500892,465.34013484903136,1377.20947265625,1162.748779296875,1136.7147076428373,258.12115228576886
5,488,366,597,913,601,18.15221195557912,300.5049017430534,977.0208740234375,1407.844482421875,548,15.01274092800652,664.3957365946449,2010.3330078125,2441.15576171875,3139.4710275725974,363.8908348515915
6,929,223,516,142,416,11.372106130793796,161.9970362073771,515.1974487304688,198.01611328125,414,11.321400197414496,213.19070402947696,770.3465576171875,453.16522216796875,50.705933379300404,51.193667822099854
7,288,143,773,97,488,14.678237245992353,189.1961696059594,385.9551086425781,318.5391845703125,486,12.779259806345687,230.30597918226982,823.622802734375,756.20703125,1898.9774396466673,41.109809576310425
8,633,818,256,1010,445,13.430536538598698,191.23304676926756,456.53448486328125,822.179931640625,378,11.57436463065344,459.2421973745819,1208.955078125,1574.6005859375,1856.1719079452596,268.00915060531435
9,616,923,150,317,788,23.386789231058287,320.80390721848465,754.3630981445312,905.1656494140625,607,20.25761668847685,564.0810787614132,2270.646728515625,2421.450927734375,3129.1725425814366,243.27717154292856
10,870,700,338,483,559,16.76183953248717,268.32378594496373,1140.53564453125,363.51953125,533,15.76661303378038,444.9976434139486,1985.3414306640625,1208.3258056640625,995.2264987067902,176.67385746898486
11,573,103,362,444,391,11.924956282917385,201.23639163707463,953.2808837890625,356.654052734375,342,10.861187140161713,331.567936052321,1443.6199951171875,846.9931640625,1063.7691427556729,130.33154441524636
12,323,625,655,934,393,12.595253232602223,201.43360318338938,705.5223999023438,699.2711791992188,333,11.66216161958101,234.96948331153234,943.7510986328125,937.4998779296875,933.0916130212136,33.53588012814296
13,209,989,565,488,628,19.55084695634843,359.75409557362036,1763.173095703125,864.4813842773438,502,16.440385494646474,629.3935336171692,2473.518798828125,1574.8272705078125,3110.4614617019542,269.6394380435488
14,453,886,533,266,640,18.542389725468432,332.62549033759825,1195.878662109375,1520.7431640625,621,16.558962759522842,693.9401905609352,1958.837646484375,2283.7021484375,1983.4269659455895,361.31470022333696
15,63,824,940,561,889,25.78991572697426,359.72857604994147,933.690185546875,689.1195068359375,878,24.996457503575034,903.2206085181025,2997.437255859375,2752.86669921875,793.458223399226,543.492032468161
16,937,14,95,736,1171,34.80872692502148,452.02670624973007,865.2711791992188,1224.294921875,843,28.929311745441378,720.9554395507589,2384.84716796875,2743.8720703125,5879.415179580104,268.92873330102884
